,body
0,"Before buying this product please keep these points in mind:- You need amazon prime account  for Rs. 999 per year to listen to music from amazon. Otherwise you will have to use free and full of advertisement services like Saavn, Gaana, etc.- Echo dot skips to next song abruptly without completing current song most often.- If you try to stream music from your Amazon Prime Music app on your iPhone to Echo Dot or Echo Dot stereo pair, the app cannot control the music. You cannot scrub music or know which song is playing or move to next music in the playlist. The control magically switches the Alexa app that you need to have on your phone to setup Echo dot.- You can only stream to stereo pair from Amazon Prime Music App.- No real support exists for this device. If you call amazon support staff, they will drive you crazy as they know nothing about this product and its features.- If you want to use it as kids toy, then it is ok to buy it as it can switch on and off lights that are compatible with Alexa.- Audio quality is very basic. Even a cheap Chinese product sounds better.- This is really a no no product for music lovers. You better buy either Sony or JBL soundbars with subwoofer for better quality music, though these may cost you beyond INR15k.- Alexa does not understands most of the commands. Apple Siri is way ahead of Alexa.- Amazon is not a software and hardware company. Don't expect quality software  and hardware from them. You are being used as testers for their experimental products."
1,"The media could not be loaded.
                



 Works beautifully, have bought 3 to link the entire house. Frequently group and play them together, use drop in to create an intercom, and have linked to speakers, bulbs, TV and other gadgets. I would still give this only 3 stars because it is double the rate here in India compared to the US. A country with 25 TIMES India's per capita income. What is this pricing Amazon? I understand there may be taxes in India but still. 2X the price ?This not withstanding will buy a larger Echo speaker whenever there is a sale on Echo with reasonable prices."
2,"The media could not be loaded.
                



 Bought this and wipro 9w smart bulb in combo offer. Configured smart bulb in alexa. Cool thats it.Just say ""alexa, lights on"", ""alexa, turn light to red / blue"" etc.. you can alse even change the brightness ""alexa, change the brightness to 50%"" etc. You will get the manual within the wipro bulb box. There you can see the list of commands.Lets see the other options of echo dot. I connected this to home theater. It is just playing songs from any music station, my playlist. Tried these 2 options only. Mostly i play rhymes. Around INR 2500, i got this combo. Worth to play around."
3,"I was quite confused between echo dot 3rd & 4th Gen so bought both to try and after testing, I choose 3rd Gen bcoz of following reasons.1. Very responsive to voice command in comparison to 4th Gen.2. Only 1-1.5 scale down from 4th Gen in sound and bass quality.3. I prefer 3rd Gen hockey puck design than 4th Gen round shape (personal preference).4. For higher audio quality and output one can always use external speakers via aux cable.5. Can integrate with Google even via bluetooth.6. Easy to place anywhere without any scope of rolling off.7. LED ring light looks distinctive on top than bottom (4th Gen) bcoz one can't see its 360° view.8. Plays soft music prity well than hard.9. Can fit into confined space.10. Also paid only ₹1999.What more one can ask for."
4,"I am using alexa dot 2nd Gen and today I have gifted dot 3rd Gen to my Daddy.1. I see of difference in sound quality compared 2nd gen. Sound quality is amazing.2. It is louder than 2nd Gen Dot3. One thing disappointed is that when say 'Alexa, play old telugu songs' in 2nd Gen Dot it Play old songs from retro station but in 3rd gen Dot it is playing telugu songs'(not telugu old songs). When I specially say 'Alexa play telugu retro station songs' it is playing old songs of specific combination of male and female singers.I will update the review after days again but it's 5 star rating for now"
5,For 2000 using 10% off..you are getting a bulb worth 500...making echo dot 1500 which at roughly 20 dollars is same price you get in deals in USA.  So no more asking friends to get them from there!!!!  Anyone sitting on the fence can buy this instead of buying bluetooth speakers.  This is 5th Echo dot including earlier versions and Google Mini doesnt even come close when it comes to smartness.  While Google mini answers google search questions better - no one is buying a smart speaker for that.  Its integration with smart devices is unparalled and my mini appears dumb most of the times.  Just grab this before it goes back to its old price.  Even the smart bulb is very helpful.  While watching TV..just ask Alexa to turn bulb blue or red!! Not sure if this bulb can dim...if so..you can use this both as a day bulb and a night bulb.  Just go for it before its too late
6,"""Worst experience brought it on 12th August already stopped working since 25th September @Amazon what should be done suggest""This was my previous review but now i am amazed with customer service i got from Amazon. The adaptor for Alexa was faulty..so after the review Amazon came to know about my problem and without any delay they help me with a new adaptor without any cost.In this way within a day my issue is resolved. Thankyou Mr.Aman for your promp response and solution will never forget it.so all these stars are not for Alexa now but for Amazon 🙂u won my ❤️"
7,"me ""Alexa,  play .... "". Alexa ""Sorry, I do not know that""me ""Alexa,  play .... "". Alexa ""Sorry, I could not find that""me ""Alexa,  play .... "". Alexa ""Sorry, I don't recognize it""search capabilities of Alexa sucks!! Even when I read out the playlist names as they are on Amazon Music, Alexa can't find those playlists. Alexa know a standard playlists like 90s bollywood, bollywood hits etc., If you are looking for Kannada playlists or for that matter any local language lists, Alexa just does not know...me ""Alexa, I have feedback"" ""You really suck!!"""
8,"This review is for the Echo dot (3rd gen).On the Hardware front, the device is quite good(maybe best in the market) at this price, only one thing I would want it to have is a battery inside as you have to connect it to a power source always, which makes it less portable and for scenarios when there is an electricity cut (well we live in India-a developing country, here many areas even in the top cities don't have 24 hrs of electricity, Amazon would have considered this)The software front is just average.If you have used google assistant(Ok Google) on mobile/any device then you can think as Alexa answers just around 50% efficiently compared to google assistant (according to me). Alexa doesn't understand follow-ups like google assistant, every time you have to say ""Alexa"" first for everything, and it also doesn't understand many basic questions (like what are the flights from Jaipur to Delhi?, who played most IPL matches?-->it just says I don't know the answer), you have to be more specific in framing your query for Alexa, it is also not as good as google assistant with the Hindi language. Google Assistant is much more friendly than Alexa, with all that said I would say Alexa is about Half as smart as Google assistant.Only one thing good on the software front is it has the biggest Skills' library so you can automate/routine many things.On the last note, I would say this device is good to control smart devices in your home(like smart bulbs, plugs, appliances, etc), doing routine stuff like reordering regular things on Amazon(like grocery, etc), reorder foods, book cabs, etc. and obviously to listen to music online.I never own any google smart speaker, but with my research, I think Echo dot(3rd gen) is better on the hardware front and google nest mini(2nd gen) is better on the software front, well, it depends on you which to choose."
9,"The speaker was larger than I thought it would be, a bit chunky but not too heavy. It doesn't move about, because it's nicely weighted, even if played at full volume though I believe 50-60% volume would be enough for most people. The sound is very good indeed. The Bollywood and dance songs play great and even the rock and metal songs are enjoyable. The bass is not very heavy but the sound seems weighted nice for bass heavy songs. Alexa makes it so easy to do so many things, especially if you have smart appliances and lights and all at home which are compatible. Sone things I find enjoyable are asking Alexa to turn on the tv via my smart plug and play a particular show on the fire tv stick and by the time I get to the living room everything's on and the show's about to start. You can even use it to call your family to dinner if you have two or more echo speakers. Some privacy issues are there but it's up to you how comfortable you are giving up some for the convenience it provides. Playing music, the news, weather updates, traffic updates, reading your Kindle library books to you, the possibilities are endless. Spotify too is very nicely integrated with Alexa. The only downside is that the Google feud means there's no YouTube or YouTube music support officially and you have to run through some hoops to get it working (P.S. look up Paul Hibbert on YouTube [oh the irony]). P.P.S.-Amit Bachchan's voice is now available via Amitji keyword but unfortunately you have to pay extra for it :)"
